"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.684067249E-1,-1.698226929E-1,-2.808308601E-2
2.999198300E-2,1.920310557E-1,-1.558666229E-1,7.115232944E-2
5.998423000E-2,2.176398337E-1,-1.436433792E-1,1.642894745E-1
8.997668400E-2,2.419036329E-1,-1.334409714E-1,2.482893467E-1
1.199691110E-1,2.600287795E-1,-1.255893707E-1,3.183735013E-1
1.499616950E-1,2.771885693E-1,-1.190023422E-1,3.808735013E-1
1.799542440E-1,2.932898104E-1,-1.131811142E-1,4.399955869E-1
2.099467650E-1,3.078306913E-1,-1.078777313E-1,4.980129004E-1
2.399393410E-1,3.186990023E-1,-1.033029556E-1,5.522588491E-1
2.699319260E-1,3.213462830E-1,-9.985733032E-2,5.975031853E-1
2.999245580E-1,3.157582581E-1,-9.763622284E-2,6.302405000E-1
3.299172560E-1,3.068071604E-1,-9.605884552E-2,6.560407281E-1
3.599099540E-1,7.524341345E-4,-4.229259491E-2,-2.764889896E-1
3.899025860E-1,-9.642091393E-2,-1.010828018E-1,2.355813980E-2
4.198952840E-1,-1.319735646E-1,-7.680034637E-2,2.907127142E-2
4.498879160E-1,-1.591749638E-1,-1.009168625E-1,-3.149986267E-2
4.798805810E-1,-1.564270407E-1,-1.559896469E-1,-3.416424990E-2
5.098733130E-1,-1.297160685E-1,-7.924652100E-2,-4.367178679E-2
5.398659780E-1,-1.440991908E-1,1.896381378E-2,-2.379089594E-2
5.698586430E-1,-1.343467385E-1,6.682968140E-2,-8.574068546E-3
5.998513410E-1,-8.621844649E-2,3.312587738E-2,1.542502642E-2
6.298440060E-1,-1.031675339E-1,-1.061029434E-1,-1.017830968E-1
6.598367710E-1,-2.826564014E-2,-1.584777832E-1,-7.749313116E-2
6.898294690E-1,2.568319440E-3,-1.049671173E-1,-6.621062756E-2
7.198221340E-1,4.900193214E-2,-1.374263763E-1,9.298622608E-3
7.498147990E-1,4.872217774E-2,-1.198053360E-1,-2.720445395E-2
7.798074640E-1,1.148499325E-1,-1.547679901E-1,6.757712364E-2
8.098000960E-1,1.184736788E-1,-1.253108978E-1,1.535233855E-1
8.397927940E-1,6.058123708E-2,-7.515907288E-2,2.936244011E-2
8.697854590E-1,-7.359832525E-4,2.237606049E-2,-2.380889654E-2
8.997781240E-1,-1.224077269E-1,9.839057922E-3,-7.132607698E-2
9.297708220E-1,-1.492468566E-1,-3.108501434E-2,-8.791184425E-2
9.597633870E-1,-1.951847225E-1,-1.261167526E-1,2.573508024E-2
9.897560520E-1,-2.038979679E-1,-1.969318390E-1,1.239746213E-1
1.019748750E0,-1.404396445E-1,-2.609882355E-1,1.195261478E-1
1.049742816E0,-6.642266363E-2,-2.989282608E-1,1.431257129E-1
1.079735481E0,-8.560612798E-3,-1.695089340E-1,1.297106743E-1
1.109728179E0,3.973156214E-2,2.885150909E-2,1.121608019E-1
1.139720811E0,3.959164023E-2,6.380271912E-2,4.121929407E-2
1.169714310E0,3.117131442E-2,2.633094788E-3,-4.576659203E-2
1.199707008E0,6.854593754E-2,-1.013574600E-1,-6.497991085E-2
1.229699640E0,5.060864985E-2,-8.067798615E-2,-9.911549091E-2
1.259694872E0,1.871055365E-2,4.711151123E-3,-1.100237966E-1
1.289687604E0,1.287446916E-2,4.961490631E-2,-1.411953568E-1
1.319680236E0,-1.181361079E-2,-1.507759094E-2,-9.705853462E-2
1.349671635E0,-6.896532327E-2,-1.346483231E-1,-8.593428135E-2
1.369733401E0,-6.671652943E-2,-2.014179230E-1,-7.886618376E-2
1.389795167E0,-7.243708521E-2,-2.657899857E-1,-2.157789469E-2
1.409856933E0,-5.496346951E-2,-2.033281326E-1,-3.268313408E-2
1.429918699E0,-3.719992936E-2,-9.314250946E-2,-3.234410286E-2
1.449979632E0,-2.497485280E-2,2.569198608E-3,-3.564435244E-2
1.470041432E0,-3.083339334E-2,1.678276062E-2,-7.130122185E-2
1.490103198E0,-5.641248822E-2,-4.070854187E-2,-1.000424623E-1
1.510164997E0,-6.405212730E-2,-1.170310974E-1,-6.885451078E-2
1.530226763E0,-6.485328823E-2,-2.720565796E-1,-6.702810526E-2
1.550285962E0,-8.376878500E-2,-4.053535461E-1,-9.536623955E-3
1.570347494E0,-2.603103220E-2,-4.785699844E-1,3.691631556E-2
1.590409227E0,-3.314882517E-2,-7.913026810E-1,1.756646037E-1
1.610471093E0,-4.357544333E-2,-9.225969315E-1,1.951295733E-1
1.630532893E0,-9.614567459E-2,-1.188801765E0,1.691125631E-1
1.650594559E0,-7.799565792E-3,-1.268884659E0,6.240898371E-2
1.680587325E0,-1.582746953E-2,-1.378570557E0,1.748120785E-2
1.710580024E0,2.884031087E-2,-1.306610107E0,-2.842535675E-1
1.740539389E0,1.234112084E-1,-1.332938194E0,-1.000732183E-1
1.770432088E0,2.851029038E-1,-1.123661041E0,-2.389526367E-2
1.800424753E0,3.006625175E-1,-7.449436188E-1,-4.793345928E-2
1.830417418E0,3.386795819E-1,-1.701669693E-1,-2.019428313E-1
1.860410316E0,6.482574344E-2,-1.074790955E-1,-4.677635431E-2
1.890403081E0,6.263963133E-2,3.410339355E-1,-2.789103687E-1
1.920395679E0,1.346617937E-1,9.945192337E-1,-3.772639632E-1
1.950388344E0,-3.816788644E-2,9.524297714E-1,6.685733795E-2
1.980380909E0,-8.251622319E-2,1.225083351E0,-2.431437820E-1
2.010373574E0,-7.609875500E-2,2.353162289E0,-1.589033008E-1
2.040399539E0,3.673902154E-2,3.114875793E0,1.341898739E-1
2.060461339E0,-4.691788554E-2,3.848681927E0,2.175288945E-1
2.080489205E0,-1.424781680E-1,4.720588684E0,1.190827489E-1
2.100551038E0,-2.098253220E-1,4.454614639E0,1.903488934E-1
2.120612804E0,-2.926176488E-1,4.092781544E0,2.870619893E-1
2.140674603E0,-3.082490861E-1,3.484522343E0,6.938883066E-1
2.160736369E0,-3.299233913E-1,3.360096931E0,5.161503553E-1
2.180800269E0,-2.956478000E-1,2.412134171E0,3.597777188E-1
2.200861969E0,-2.436716855E-1,1.890272617E0,2.688452303E-1
2.220923735E0,-1.693091840E-1,1.442435265E0,3.483727872E-1
2.240985467E0,-1.362979412E-2,7.426986694E-1,1.797440946E-1
2.261047233E0,1.042516008E-1,-4.864959717E-1,1.324509084E-1
2.281110933E0,1.470573843E-1,-1.299252510E0,1.797980368E-1
2.301172699E0,1.892040372E-1,-2.099686623E0,3.771819174E-1
2.321234465E0,1.614266038E-1,-2.375057220E0,3.019855618E-1
2.341296231E0,1.919854805E-2,-3.183985710E0,3.779146969E-1
2.361357963E0,-9.225494415E-2,-3.844492912E0,6.594176292E-1
2.381420395E0,-2.123703957E-1,-4.086876869E0,5.670214295E-1
2.411413027E0,-2.519782782E-1,-4.548652649E0,6.294697523E-1
2.441405659E0,-1.609520465E-1,-4.624452591E0,1.965953112E-1
2.471396224E0,1.684007049E-2,-4.381754875E0,6.786257029E-2
2.501388889E0,9.307678789E-2,-4.015753746E0,-1.199761629E-1
2.531381554E0,1.243621558E-1,-2.990798950E0,2.785027027E-2
2.561374252E0,4.363813996E-2,-2.087127686E0,-5.808413029E-2
2.591365017E0,-1.299411207E-1,-1.435430527E0,4.335153103E-2
2.621357682E0,-1.885319203E-1,-2.469139099E-1,3.567892313E-2
2.651350380E0,-2.550688386E-1,3.644819260E-1,-2.192621529E-1
2.681342945E0,-2.382305861E-1,1.305663109E0,-3.301570415E-1
2.711335610E0,-1.852779537E-1,1.866205215E0,-5.315760374E-1
2.741328375E0,-1.967950761E-1,2.286585331E0,-6.497758031E-1
2.771321040E0,-1.871028990E-1,2.503790855E0,-5.691623688E-1
2.801313772E0,-1.606086940E-1,2.707769394E0,-4.903850257E-1
2.831306437E0,-2.355070263E-1,2.763284206E0,-4.728091061E-1
2.861299102E0,-3.175592422E-1,2.608008385E0,-2.919875979E-1
2.891293334E0,-3.427710235E-1,2.401108742E0,-2.836824358E-1
2.921286033E0,-4.313865304E-1,1.924302578E0,-3.734708428E-1
2.951278698E0,-3.708498776E-1,1.430802345E0,-3.952973783E-1
2.981271463E0,-2.925084829E-1,8.584995270E-1,-5.483903885E-1
3.011264262E0,-2.231829464E-1,2.257747650E-1,-5.590983629E-1
3.041256827E0,-8.497075737E-2,-4.418029785E-1,-4.083184004E-1
3.071249525E0,-7.802566886E-2,-1.004473686E0,-2.924627662E-1
3.101242124E0,-7.194688916E-2,-1.559283257E0,-1.484972239E-2
3.131234789E0,-1.118372753E-1,-1.974372864E0,1.164599061E-1
3.161227554E0,-1.852127016E-1,-2.124081612E0,3.172987700E-2
3.191218720E0,-1.603315920E-1,-2.363954544E0,-5.615657568E-2
3.221211385E0,-9.776639938E-2,-2.353056908E0,-1.983778477E-1
3.251204083E0,-3.022351116E-2,-2.249310493E0,-3.065482080E-1
3.281196649E0,1.416819394E-1,-2.025706291E0,-2.023195028E-1
3.311189214E0,1.405221373E-1,-1.482384682E0,-8.962750435E-2
3.341182012E0,1.834172755E-1,-1.022902489E0,1.078710556E-1
3.371174644E0,1.610189825E-1,-6.536035538E-1,1.298259497E-1
3.401167110E0,9.176965058E-2,1.220703125E-3,-1.507341862E-2
3.431159842E0,1.554254740E-1,4.081640244E-1,-7.100039721E-2
3.461152441E0,1.196412593E-1,7.500972748E-1,-3.088114858E-1
3.491145073E0,2.751452625E-1,1.076313019E0,-2.050586045E-1
3.521137771E0,3.290817142E-1,1.243010521E0,-1.565601826E-1
3.551130436E0,4.701113999E-1,1.285871506E0,1.097645462E-1
3.581123134E0,4.311871529E-1,1.378829956E0,2.002335191E-1
3.611115799E0,4.224790335E-1,1.289349556E0,3.351972699E-1
3.641108364E0,2.801084816E-1,1.213462830E0,2.364700735E-1
3.671101062E0,2.508096695E-1,1.009773254E0,2.018187046E-1
3.701093927E0,1.975122541E-1,7.741937637E-1,1.092317700E-2
3.731086626E0,2.551817000E-1,4.070425034E-1,8.266505599E-2
3.761079291E0,2.988854945E-1,8.598327637E-2,1.044737995E-1
3.791071956E0,3.687567711E-1,-3.396606445E-1,3.513577878E-1
3.821064888E0,2.940231562E-1,-4.707517624E-1,3.404850960E-1
